No,Gh id,Station Name,Latitude,Longitude,Elevation,ELID,Year,Month,Mean Minimum Temperature
71,SIBILL11,BLATE,6.817,38.083,1361.0,TMPMIN,2022,8,17.519
72,SIBORE31,BORE,6.35,38.617,2712.0,TMPMIN,2022,8,9.377
73,SIBURJ21,BURJI,5.484,37.868,1815.0,TMPMIN,2022,8,14.068
74,SIDILL11,DILLA,6.367,38.3,1579.0,TMPMIN,2022,8,15.897
75,SIHAGE11,HAGEREMARIAM,5.65,38.233,1861.0,TMPMIN,2022,8,12.971
76,SIMOYA11,MOYALE,3.55,39.033,1166.0,TMPMIN,2022,8,14.829
77,SINEGH22,Negele,5.417,39.567,1544.0,TMPMIN,2022,8,14.98
78,SIWERA11,WERABE,7.85,38.191,2057.0,TMPMIN,2022,8,13.613
79,SIWOLA11,Wolaita Sodo,6.81,37.73,1854.0,TMPMIN,2022,8,14.535
80,SIYABE31,YABELO,4.88,38.1,1729.0,TMPMIN,2022,8,14.665
81,WEARJO21,AREJO,8.75,36.5,2565.0,TMPMIN,2022,8,11.51
82,WEASSO11,ASSOSSA,10.0,34.517,1600.0,TMPMIN,2022,8,16.084
83,WEAYIR11,AIRA,9.1,35.55,1555.0,TMPMIN,2022,8,14.881
84,WECHEW11,CHEWKA,8.92,36.16,1272.0,TMPMIN,2022,8,19.806
85,WEDEMB21,DEMBIDOLO,8.517,34.8,1850.0,TMPMIN,2022,8,14.055
86,WEGIDA11,GIDAAYANA,9.867,36.617,1850.0,TMPMIN,2022,8,13.306
87,WEGIMB11,Gimbi,9.167,35.783,1970.0,TMPMIN,2022,8,14.442
88,WENEDJ11,NEJO,9.5,35.45,1800.0,TMPMIN,2022,8,14.087
89,WENEKE12,Nekemte,9.083,36.463,2080.0,TMPMIN,2022,8,12.977
90,WESHAM11,SHAMBU,9.571,37.121,2460.0,TMPMIN,2022,8,11.787
91,WESHER13,SHERKOLE,10.8,35.083,,TMPMIN,2022,8,19.977
92,WOAMBA21,AMBAMARIAM,11.203,39.217,2990.0,TMPMIN,2022,8,5.374
93,WOBATI21,Bati,11.197,40.015,1660.0,TMPMIN,2022,8,15.755
94,WOCHEF21,CHEFA,10.983,39.767,1400.0,TMPMIN,2022,8,13.168
95,WOCOMB32,Combolcha,11.084,39.718,1857.0,TMPMIN,2022,8,14.931
96,WODUBI21,DUBTI,11.723,41.01,376.0,TMPMIN,2022,8,24.133
97,WOELID31,ELIDAR,12.067,41.917,660.0,TMPMIN,2022,8,25.006
98,WOLALI41,LALIBELA,12.039,39.04,2487.0,TMPMIN,2022,8,11.413
99,WOMEKA11,MEKANSELAM,10.743,38.757,2605.0,TMPMIN,2022,8,11.748
100,WOWEGE11,WEGELTENA,11.59,39.221,2952.0,TMPMIN,2022,8,8.368
101,WOWERE11,WEREILU,10.579,39.437,2708.0,TMPMIN,2022,8,10.406
