No,Gh id,Station Name,Latitude,Longitude,Elevation,ELID,Year,Month,Total Rainfall
73,SHSHOL11,SHOLAGEBAYA,9.218,39.55,2500.0,PRECIP,2022,8,330.7
74,SHWOLI11,GHION,8.55,37.983,2058.0,PRECIP,2022,8,285.2
75,SHZIWA11,Ziway,7.933,38.7,1640.0,PRECIP,2022,8,84.0
76,SIAWAS32,Awassa,7.065,38.483,1694.0,PRECIP,2022,8,88.1
77,SIBILL11,BLATE,6.817,38.083,1361.0,PRECIP,2022,8,107.8
78,SIBORE31,BORE,6.35,38.617,2712.0,PRECIP,2022,8,175.5
79,SIBURJ21,BURJI,5.484,37.868,1815.0,PRECIP,2022,8,43.7
80,SIDILL11,DILLA,6.367,38.3,1579.0,PRECIP,2022,8,157.7
81,SIHAGE11,HAGEREMARIAM,5.65,38.233,1861.0,PRECIP,2022,8,107.2
82,SIMOYA11,MOYALE,3.55,39.033,1166.0,PRECIP,2022,8,6.0
83,SINEGH22,Negele,5.417,39.567,1544.0,PRECIP,2022,8,19.2
84,SIWERA11,WERABE,7.85,38.191,2057.0,PRECIP,2022,8,172.1
85,SIWOLA11,Wolaita Sodo,6.81,37.73,1854.0,PRECIP,2022,8,222.3
86,SIYABE31,YABELO,4.88,38.1,1729.0,PRECIP,2022,8,11.9
87,WEARJO21,AREJO,8.75,36.5,2565.0,PRECIP,2022,8,483.3
88,WEASSO11,ASSOSSA,10.0,34.517,1600.0,PRECIP,2022,8,304.5
89,WEAYIR11,AIRA,9.1,35.55,1555.0,PRECIP,2022,8,247.6
90,WECHEW11,CHEWKA,8.92,36.16,1272.0,PRECIP,2022,8,295.9
91,WEDEMB21,DEMBIDOLO,8.517,34.8,1850.0,PRECIP,2022,8,135.1
92,WEGIDA11,GIDAAYANA,9.867,36.617,1850.0,PRECIP,2022,8,364.3
93,WEGIMB11,Gimbi,9.167,35.783,1970.0,PRECIP,2022,8,274.9
