No,Gh id,Station Name,Latitude,Longitude,Elevation,ELID,Year,Month,Mean Maximum Temperature
71,SIAWAS32,Awassa,7.065,38.483,1694.0,TMPMAX,2022,8,25.0
72,SIBILL11,BLATE,6.817,38.083,1361.0,TMPMAX,2022,8,27.032
73,SIBORE31,BORE,6.35,38.617,2712.0,TMPMAX,2022,8,17.103
74,SIBURJ21,BURJI,5.484,37.868,1815.0,TMPMAX,2022,8,23.697
75,SIDILL11,DILLA,6.367,38.3,1579.0,TMPMAX,2022,8,24.939
76,SIHAGE11,HAGEREMARIAM,5.65,38.233,1861.0,TMPMAX,2022,8,22.506
77,SIMOYA11,MOYALE,3.55,39.033,1166.0,TMPMAX,2022,8,25.897
78,SINEGH22,Negele,5.417,39.567,1544.0,TMPMAX,2022,8,24.942
79,SIWERA11,WERABE,7.85,38.191,2057.0,TMPMAX,2022,8,22.535
80,SIWOLA11,Wolaita Sodo,6.81,37.73,1854.0,TMPMAX,2022,8,21.719
81,SIYABE31,YABELO,4.88,38.1,1729.0,TMPMAX,2022,8,24.645
82,WEARJO21,AREJO,8.75,36.5,2565.0,TMPMAX,2022,8,20.065
83,WEASSO11,ASSOSSA,10.0,34.517,1600.0,TMPMAX,2022,8,22.871
84,WEAYIR11,AIRA,9.1,35.55,1555.0,TMPMAX,2022,8,24.142
85,WECHEW11,CHEWKA,8.92,36.16,1272.0,TMPMAX,2022,8,26.635
86,WEDEMB21,DEMBIDOLO,8.517,34.8,1850.0,TMPMAX,2022,8,22.2
87,WEGIDA11,GIDAAYANA,9.867,36.617,1850.0,TMPMAX,2022,8,21.055
88,WEGIMB11,Gimbi,9.167,35.783,1970.0,TMPMAX,2022,8,22.603
89,WENEDJ11,NEJO,9.5,35.45,1800.0,TMPMAX,2022,8,22.342
90,WENEKE12,Nekemte,9.083,36.463,2080.0,TMPMAX,2022,8,20.697
91,WESHAM11,SHAMBU,9.571,37.121,2460.0,TMPMAX,2022,8,20.152
92,WESHER13,SHERKOLE,10.8,35.083,,TMPMAX,2022,8,29.319
93,WOAMBA21,AMBAMARIAM,11.203,39.217,2990.0,TMPMAX,2022,8,19.652
94,WOBATI21,Bati,11.197,40.015,1660.0,TMPMAX,2022,8,27.11
95,WOCHEF21,CHEFA,10.983,39.767,1400.0,TMPMAX,2022,8,28.639
96,WOCOMB32,Combolcha,11.084,39.718,1857.0,TMPMAX,2022,8,26.263
97,WODALI13,DALIFAGI,10.62,40.32,650.0,TMPMAX,2022,8,33.871
98,WODUBI21,DUBTI,11.723,41.01,376.0,TMPMAX,2022,8,37.935
99,WOELID31,ELIDAR,12.067,41.917,660.0,TMPMAX,2022,8,38.29
100,WOMEKA11,MEKANSELAM,10.743,38.757,2605.0,TMPMAX,2022,8,19.219
101,WOSEME11,Semera,11.76,41.0,590.0,TMPMAX,2022,8,36.777
102,WOWEGE11,WEGELTENA,11.59,39.221,2952.0,TMPMAX,2022,8,16.855
103,WOWERE11,WEREILU,10.579,39.437,2708.0,TMPMAX,2022,8,19.158
